Browser,screenH,screenW,workerid,OS
Chrome,1080,1920,0,Windows
Chrome,768,1366,1,Windows
Chrome,768,1366,2,Windows
Chrome,800,1280,3,Windows
Chrome,768,1366,4,Windows
Chrome,768,1364,5,Windows
Chrome,768,1364,6,Windows
Chrome,768,1360,7,Windows
Chrome,900,1440,8,Windows
Chrome,864,1536,9,Windows
Chrome,720,1280,10,Windows
Chrome,768,1366,11,Windows
Chrome,768,1366,12,Windows
Chrome,768,1366,13,Windows
Chrome,864,1536,14,Windows
Chrome,768,1366,15,Windows
Chrome,768,1366,16,Windows
Chrome,768,1366,17,Windows
Chrome,768,1024,18,Windows
Chrome,768,1366,19,Windows
Chrome,768,1366,20,Windows
Chrome,864,1536,21,Windows
Chrome,768,1364,22,Windows
Chrome,768,1366,23,Windows
Chrome,768,1366,24,Windows
Chrome,768,1366,25,Linux
Chrome,1080,1920,26,Windows
Chrome,768,1366,27,Linux
Firefox,1080,1920,28,Windows
Chrome,768,1366,29,Windows
Chrome,768,1366,30,Windows
Chrome,900,1600,31,Windows
Chrome,768,1364,32,Windows
Chrome,1080,1620,33,Windows
Chrome,1024,1280,34,Windows
Chrome,768,1366,35,Windows
Chrome,912,1368,36,Windows
Chrome,768,1366,37,Windows
Chrome,900,1440,38,Windows
Chrome,768,1366,39,Windows
Chrome,768,1366,40,Windows
Chrome,768,1366,41,Windows
Chrome,768,1366,42,Windows
Chrome,768,1366,43,Windows
Chrome,768,1366,44,Windows
Chrome,768,1366,45,Windows
Firefox,900,1600,46,Windows
Chrome,768,1024,47,Windows
Chrome,768,1366,48,Windows
Chrome,768,1366,49,Windows
Chrome,1080,1920,50,Windows
Chrome,768,1366,51,Windows
Chrome,768,1366,52,Windows
Chrome,864,1536,53,Windows
Chrome,1050,1680,54,Mac
Chrome,960,1440,55,Windows
Chrome,768,1366,56,Windows
Firefox,1080,1920,57,Windows
Chrome,768,1366,58,Windows
Chrome,768,1366,59,Windows
Chrome,768,1366,60,Windows
Chrome,768,1366,61,Windows
Chrome,768,1366,62,Windows
Chrome,1080,1920,63,Windows
Chrome,979,1739,64,Windows
Chrome,768,1364,65,Windows
Chrome,768,1366,66,Windows
Chrome,768,1366,67,Windows
Chrome,768,1366,68,Windows
Chrome,768,1364,69,Windows
Chrome,720,1280,70,Windows
Chrome,768,1366,71,Windows
Chrome,768,1366,72,Windows
Chrome,768,1366,73,Windows
Chrome,900,1600,74,Windows
Chrome,1080,1920,75,Windows
Chrome,613,1090,76,Windows
Chrome,768,1366,77,Windows
Chrome,864,1536,78,Windows
Chrome,768,1366,79,Windows
Chrome,840,1344,80,Windows
Chrome,768,1366,81,Linux
Chrome,1080,1920,82,Windows
Chrome,768,1366,83,Windows
Chrome,960,1440,84,Windows
Chrome,1080,1920,85,Windows
Chrome,1080,1920,86,Windows
Chrome,768,1366,87,Windows
Chrome,768,1364,88,Windows
Chrome,1080,1920,89,Windows
Chrome,768,1366,90,Windows
Chrome,864,1536,91,Windows
Chrome,1080,1920,92,Windows
Chrome,768,1366,93,Windows
Chrome,768,1366,94,Windows
Chrome,720,1280,95,Windows
Chrome,800,1280,96,Mac
Chrome,768,1366,97,Windows
Firefox,576,1025,98,Linux
Chrome,768,1364,99,Windows
Safari,1366,1024,100,an unknown OS
Chrome,864,1536,101,Windows
Chrome,800,1280,102,Mac
Chrome,768,1366,103,Windows
Chrome,1080,1920,104,Mac
Chrome,768,1364,105,Windows
Chrome,768,1366,106,Windows
